発表区域名,地域名,予報日数,平均降水確率,最大降水確率,信頼度A件数,発表区域コード,地域コード,細分地域名,細分地域コード,アメダス番号,アメダス地点名,緯度,経度,標高,予報区域対応取得元,座標標高取得元
東京都,東京地方,6,48.3,80.0,2,130000,130010,東京地方,130010,44132,東京,35.691667,139.75,25,気象庁 forecast_area.json,気象庁 amedastable.json
東京都,伊豆諸島,6,51.7,80.0,3,130000,130100,伊豆諸島北部,130020,44172,大島,34.748333,139.361667,74,気象庁 forecast_area.json,気象庁 amedastable.json
東京都,伊豆諸島,6,51.7,80.0,3,130000,130100,伊豆諸島南部,130030,44263,八丈島,33.121667,139.778333,151,気象庁 forecast_area.json,気象庁 amedastable.json
東京都,小笠原諸島,6,33.3,40.0,1,130000,130040,小笠原諸島,130040,44301,父島,27.091667,142.19,3,気象庁 forecast_area.json,気象庁 amedastable.json
