frame,elapsed_seconds,timestamp,tag_id,x_pos,y_pos,speed
0,0.0,2013-11-03 18:35:00.000,1,48.0948423597236,20.192918378149,3.34995477042215
0,0.0,2013-11-03 18:35:00.000,2,29.8893660259314,29.7747068886589,2.58927299694335
0,0.0,2013-11-03 18:35:00.000,5,33.8856064736709,25.5770106084087,3.50631366094292
0,0.0,2013-11-03 18:35:00.000,7,39.6128486645908,34.9299452765949,3.56932878804641
0,0.0,2013-11-03 18:35:00.000,8,29.6362818860241,40.1252409158318,2.42001904482836
0,0.0,2013-11-03 18:35:00.000,9,35.265561122211,7.48548000200276,2.47078958027953
0,0.0,2013-11-03 18:35:00.000,10,46.2338556098631,2.95658536185512,4.57907180238519
0,0.0,2013-11-03 18:35:00.000,13,29.5225480260931,24.6725540644029,2.46400874169691
0,0.0,2013-11-03 18:35:00.000,14,32.5365584127681,15.8522329715656,3.83008356013752
0,0.0,2013-11-03 18:35:00.000,15,60.8730026469761,15.4933985937791,5.29072341717888
1,0.2,2013-11-03 18:35:00.200,1,48.507637663928,19.6630760372131,3.35187872278517
1,0.2,2013-11-03 18:35:00.200,2,30.4378184980282,29.8644502426673,2.95816067946841
1,0.2,2013-11-03 18:35:00.200,5,34.5295602615981,25.2448259660199,3.71675437067202
1,0.2,2013-11-03 18:35:00.200,7,40.3147487960097,35.0774085803797,3.57923478309674
1,0.2,2013-11-03 18:35:00.200,8,29.9719967562026,39.7537769120361,2.52538186344064
1,0.2,2013-11-03 18:35:00.200,9,35.695984955678,7.3227728253773,2.16956629881506
1,0.2,2013-11-03 18:35:00.200,10,47.1374829355637,3.17344960738349,4.67418458301186
1,0.2,2013-11-03 18:35:00.200,13,29.927504181278,24.4104972355289,2.34764285580632
1,0.2,2013-11-03 18:35:00.200,14,33.2844904788971,15.825700954361,3.67823366831497
1,0.2,2013-11-03 18:35:00.200,15,61.3420071747309,14.545569091464,5.28847535425419
2,0.4,2013-11-03 18:35:00.400,1,48.8587460390728,19.108691920214,3.21337988899009
