指標名,系列種別,年月,指数
総合,原数値,2021-08-01,99.7
総合,原数値,2021-09-01,100.1
総合,原数値,2021-10-01,99.9
総合,原数値,2021-11-01,100.1
総合,原数値,2021-12-01,100.1
総合,原数値,2022-01-01,100.3
総合,原数値,2022-02-01,100.7
総合,原数値,2022-03-01,101.1
総合,原数値,2022-04-01,101.5
総合,原数値,2022-05-01,101.8
総合,原数値,2022-06-01,101.8
総合,原数値,2022-07-01,102.3
総合,原数値,2022-08-01,102.7
総合,原数値,2022-09-01,103.1
総合,原数値,2022-10-01,103.7
総合,原数値,2022-11-01,103.9
総合,原数値,2022-12-01,104.1
総合,原数値,2023-01-01,104.7
総合,原数値,2023-02-01,104.0
総合,原数値,2023-03-01,104.4
総合,原数値,2023-04-01,105.1
総合,原数値,2023-05-01,105.1
総合,原数値,2023-06-01,105.2
総合,原数値,2023-07-01,105.7
総合,原数値,2023-08-01,105.9
総合,原数値,2023-09-01,106.2
総合,原数値,2023-10-01,107.1
総合,原数値,2023-11-01,106.9
総合,原数値,2023-12-01,106.8
総合,原数値,2024-01-01,106.9
総合,原数値,2024-02-01,106.9
総合,原数値,2024-03-01,107.2
総合,原数値,2024-04-01,107.7
総合,原数値,2024-05-01,108.1
総合,原数値,2024-06-01,108.2
総合,原数値,2024-07-01,108.6
総合,原数値,2024-08-01,109.1
総合,原数値,2024-09-01,108.9
総合,原数値,2024-10-01,109.5
総合,原数値,2024-11-01,110.0
総合,原数値,2024-12-01,110.7
総合,原数値,2025-01-01,111.2
総合,原数値,2025-02-01,110.8
総合,原数値,2025-03-01,111.1
総合,原数値,2025-04-01,111.5
総合,原数値,2025-05-01,111.8
総合,原数値,2025-06-01,111.7
総合,原数値,2025-07-01,111.9
総合,原数値,2025-08-01,112.1
総合,原数値,2025-09-01,112.0
総合,原数値,2025-10-01,112.8
総合,原数値,2025-11-01,113.2
総合,原数値,2025-12-01,113.0
総合,原数値,2026-01-01,112.9
総合,原数値,2026-02-01,112.2
総合,原数値,2026-03-01,112.7
総合,原数値,2026-04-01,113.0
総合,原数値,2026-05-01,113.5
総合,季節調整値,2010-01-01,95.1
総合,季節調整値,2010-02-01,95.0
総合,季節調整値,2010-03-01,95.0
総合,季節調整値,2010-04-01,94.9
総合,季節調整値,2010-05-01,94.9
総合,季節調整値,2010-06-01,94.9
総合,季節調整値,2010-07-01,94.6
総合,季節調整値,2010-08-01,94.5
総合,季節調整値,2010-09-01,94.6
総合,季節調整値,2010-10-01,94.8
総合,季節調整値,2010-11-01,94.8
総合,季節調整値,2010-12-01,94.6
総合,季節調整値,2011-01-01,94.5
総合,季節調整値,2011-02-01,94.5
総合,季節調整値,2011-03-01,94.5
総合,季節調整値,2011-04-01,94.5
総合,季節調整値,2011-05-01,94.5
総合,季節調整値,2011-06-01,94.6
総合,季節調整値,2011-07-01,94.7
総合,季節調整値,2011-08-01,94.7
総合,季節調整値,2011-09-01,94.6
総合,季節調整値,2011-10-01,94.6
総合,季節調整値,2011-11-01,94.4
総合,季節調整値,2011-12-01,94.4
総合,季節調整値,2012-01-01,94.7
総合,季節調整値,2012-02-01,94.8
総合,季節調整値,2012-03-01,95.0
総合,季節調整値,2012-04-01,94.9
総合,季節調整値,2012-05-01,94.7
総合,季節調整値,2012-06-01,94.4
総合,季節調整値,2012-07-01,94.3
総合,季節調整値,2012-08-01,94.3
総合,季節調整値,2012-09-01,94.3
総合,季節調整値,2012-10-01,94.2
総合,季節調整値,2012-11-01,94.2
総合,季節調整値,2012-12-01,94.3
総合,季節調整値,2013-01-01,94.4
総合,季節調整値,2013-02-01,94.2
総合,季節調整値,2013-03-01,94.2
総合,季節調整値,2013-04-01,94.3
総合,季節調整値,2013-05-01,94.4
総合,季節調整値,2013-06-01,94.6
総合,季節調整値,2013-07-01,94.9
総合,季節調整値,2013-08-01,95.1
総合,季節調整値,2013-09-01,95.3
総合,季節調整値,2013-10-01,95.3
総合,季節調整値,2013-11-01,95.6
総合,季節調整値,2013-12-01,95.7
総合,季節調整値,2014-01-01,95.7
総合,季節調整値,2014-02-01,95.7
総合,季節調整値,2014-03-01,95.8
総合,季節調整値,2014-04-01,97.6
総合,季節調整値,2014-05-01,97.9
総合,季節調整値,2014-06-01,98.0
総合,季節調整値,2014-07-01,98.2
総合,季節調整値,2014-08-01,98.3
総合,季節調整値,2014-09-01,98.3
総合,季節調整値,2014-10-01,98.0
総合,季節調整値,2014-11-01,97.9
総合,季節調整値,2014-12-01,98.0
総合,季節調整値,2015-01-01,98.0
総合,季節調整値,2015-02-01,97.8
総合,季節調整値,2015-03-01,98.1
総合,季節調整値,2015-04-01,98.3
総合,季節調整値,2015-05-01,98.5
総合,季節調整値,2015-06-01,98.4
総合,季節調整値,2015-07-01,98.4
総合,季節調整値,2015-08-01,98.4
総合,季節調整値,2015-09-01,98.4
総合,季節調整値,2015-10-01,98.2
総合,季節調整値,2015-11-01,98.1
総合,季節調整値,2015-12-01,98.1
総合,季節調整値,2016-01-01,97.9
総合,季節調整値,2016-02-01,98.0
総合,季節調整値,2016-03-01,98.1
総合,季節調整値,2016-04-01,98.1
総合,季節調整値,2016-05-01,98.0
総合,季節調整値,2016-06-01,98.1
総合,季節調整値,2016-07-01,98.0
総合,季節調整値,2016-08-01,97.9
総合,季節調整値,2016-09-01,97.9
総合,季節調整値,2016-10-01,98.4
総合,季節調整値,2016-11-01,98.5
総合,季節調整値,2016-12-01,98.3
総合,季節調整値,2017-01-01,98.3
総合,季節調整値,2017-02-01,98.2
総合,季節調整値,2017-03-01,98.3
総合,季節調整値,2017-04-01,98.5
総合,季節調整値,2017-05-01,98.5
総合,季節調整値,2017-06-01,98.5
総合,季節調整値,2017-07-01,98.5
総合,季節調整値,2017-08-01,98.5
総合,季節調整値,2017-09-01,98.7
総合,季節調整値,2017-10-01,98.6
総合,季節調整値,2017-11-01,99.0
総合,季節調整値,2017-12-01,99.4
総合,季節調整値,2018-01-01,99.6
総合,季節調整値,2018-02-01,99.6
総合,季節調整値,2018-03-01,99.4
総合,季節調整値,2018-04-01,99.1
総合,季節調整値,2018-05-01,99.2
総合,季節調整値,2018-06-01,99.2
総合,季節調整値,2018-07-01,99.4
総合,季節調整値,2018-08-01,99.8
総合,季節調整値,2018-09-01,99.8
総合,季節調整値,2018-10-01,100.0
総合,季節調整値,2018-11-01,99.8
総合,季節調整値,2018-12-01,99.6
総合,季節調整値,2019-01-01,99.7
総合,季節調整値,2019-02-01,99.8
総合,季節調整値,2019-03-01,99.8
総合,季節調整値,2019-04-01,100.0
総合,季節調整値,2019-05-01,99.9
総合,季節調整値,2019-06-01,99.9
総合,季節調整値,2019-07-01,99.9
総合,季節調整値,2019-08-01,100.0
総合,季節調整値,2019-09-01,100.1
総合,季節調整値,2019-10-01,100.2
総合,季節調整値,2019-11-01,100.4
総合,季節調整値,2019-12-01,100.5
総合,季節調整値,2020-01-01,100.4
総合,季節調整値,2020-02-01,100.4
総合,季節調整値,2020-03-01,100.4
総合,季節調整値,2020-04-01,100.2
総合,季節調整値,2020-05-01,100.1
総合,季節調整値,2020-06-01,100.1
総合,季節調整値,2020-07-01,100.1
総合,季節調整値,2020-08-01,100.1
総合,季節調整値,2020-09-01,99.8
総合,季節調整値,2020-10-01,99.7
総合,季節調整値,2020-11-01,99.4
総合,季節調整値,2020-12-01,99.4
総合,季節調整値,2021-01-01,99.8
総合,季節調整値,2021-02-01,99.9
総合,季節調整値,2021-03-01,100.0
総合,季節調整値,2021-04-01,99.0
総合,季節調整値,2021-05-01,99.3
総合,季節調整値,2021-06-01,99.6
総合,季節調整値,2021-07-01,99.7
総合,季節調整値,2021-08-01,99.7
総合,季節調整値,2021-09-01,100.1
総合,季節調整値,2021-10-01,99.8
総合,季節調整値,2021-11-01,100.0
総合,季節調整値,2021-12-01,100.1
総合,季節調整値,2022-01-01,100.2
総合,季節調整値,2022-02-01,100.9
総合,季節調整値,2022-03-01,101.3
総合,季節調整値,2022-04-01,101.5
総合,季節調整値,2022-05-01,101.8
総合,季節調整値,2022-06-01,102.0
総合,季節調整値,2022-07-01,102.3
総合,季節調整値,2022-08-01,102.7
総合,季節調整値,2022-09-01,103.1
総合,季節調整値,2022-10-01,103.5
総合,季節調整値,2022-11-01,103.8
総合,季節調整値,2022-12-01,104.1
総合,季節調整値,2023-01-01,104.5
総合,季節調整値,2023-02-01,104.2
総合,季節調整値,2023-03-01,104.6
総合,季節調整値,2023-04-01,105.0
総合,季節調整値,2023-05-01,105.1
総合,季節調整値,2023-06-01,105.3
総合,季節調整値,2023-07-01,105.7
総合,季節調整値,2023-08-01,105.9
総合,季節調整値,2023-09-01,106.3
総合,季節調整値,2023-10-01,107.0
総合,季節調整値,2023-11-01,106.7
総合,季節調整値,2023-12-01,106.8
総合,季節調整値,2024-01-01,106.7
総合,季節調整値,2024-02-01,107.1
総合,季節調整値,2024-03-01,107.4
総合,季節調整値,2024-04-01,107.6
総合,季節調整値,2024-05-01,108.0
総合,季節調整値,2024-06-01,108.3
総合,季節調整値,2024-07-01,108.6
総合,季節調整値,2024-08-01,109.2
総合,季節調整値,2024-09-01,109.1
総合,季節調整値,2024-10-01,109.4
総合,季節調整値,2024-11-01,109.8
総合,季節調整値,2024-12-01,110.6
総合,季節調整値,2025-01-01,111.0
総合,季節調整値,2025-02-01,111.0
総合,季節調整値,2025-03-01,111.3
総合,季節調整値,2025-04-01,111.5
総合,季節調整値,2025-05-01,111.8
総合,季節調整値,2025-06-01,111.9
総合,季節調整値,2025-07-01,112.0
総合,季節調整値,2025-08-01,112.1
総合,季節調整値,2025-09-01,112.3
総合,季節調整値,2025-10-01,112.7
総合,季節調整値,2025-11-01,113.0
総合,季節調整値,2025-12-01,112.9
総合,季節調整値,2026-01-01,112.7
総合,季節調整値,2026-02-01,112.4
総合,季節調整値,2026-03-01,112.9
総合,季節調整値,2026-04-01,113.0
総合,季節調整値,2026-05-01,113.5
